Timestamp,mobile-35,mobile-34,mobile-33,mobile-9,mobile-21,mobile-20,mobile-22,mobile-32,mobile-45,mobile-31,mobile-46,mobile-14,mobile-23,mobile-47,mobile-41,mobile-13,mobile-44
2020-04-06 00:00:00,,,,,,,,,,35.0,37.0,38.0,,,,,
2020-04-06 00:10:00,,,,,,,,,,39.0,36.0,37.0,,,,,
2020-04-06 00:20:00,,,,,,,,,,39.0,37.0,38.0,,,,,
2020-04-06 00:30:00,,,,,,,,,,36.0,39.0,36.0,,,,,
2020-04-06 00:40:00,,,,,,,,,,37.0,37.0,36.0,,,,,
2020-04-06 00:50:00,,,,,,,,,,36.0,37.0,40.0,,,,,
2020-04-06 01:00:00,,,,,,,,,,37.0,36.0,36.0,,,,,
2020-04-06 01:10:00,,,,,,,,,,36.0,37.0,38.0,,,,,
2020-04-06 01:20:00,,,,,,,,,,38.0,36.0,39.0,,,,,
2020-04-06 01:30:00,,,,,,,,,,40.0,36.0,37.0,,,,,
2020-04-06 01:40:00,,,,,,,,,,36.0,36.0,38.0,,,,,
2020-04-06 01:50:00,,,,,,,,,,36.0,37.0,37.0,,,,,
2020-04-06 02:00:00,,,,,,,,,,35.0,37.0,37.0,,,,,
2020-04-06 02:10:00,,,,,,,,,,38.0,37.0,37.0,,,,,
2020-04-06 02:20:00,,,,,,,,,,36.0,36.0,40.0,,,,,
2020-04-06 02:30:00,,,,,,,,,,36.0,38.0,38.0,,,,,
2020-04-06 02:40:00,,,,,,,,,,36.0,35.0,36.0,,,,,
2020-04-06 02:50:00,,,,,,,,,,36.0,967.265929675614,36.0,,,,,
2020-04-06 03:00:00,,,,,,,,,,36.0,37.0,36.0,,,,,
2020-04-06 03:10:00,,,,,,,,,,38.0,36.0,40.0,,,,,
2020-04-06 03:20:00,,,,,,,,,,34.0,36.0,36.0,,,,,
2020-04-06 03:30:00,,,,,,,,,,38.0,38.0,36.0,,,,,
2020-04-06 03:40:00,,,,,,,,,,38.0,37.0,39.0,,,,,
2020-04-06 03:50:00,,,,,,,,,,36.0,34.0,36.0,,,,,
2020-04-06 04:00:00,,,,,,,,,,36.0,36.0,39.0,,,,,
2020-04-06 04:10:00,,,,,,,,,,36.0,36.0,38.0,,,,,
2020-04-06 04:20:00,,,,,,,,,,37.0,36.0,36.0,,,,,
2020-04-06 04:30:00,,,,,,,,,,35.0,37.0,37.0,,,,,
2020-04-06 04:40:00,,,,,,,,,,38.0,40.0,36.0,,,,,
2020-04-06 04:50:00,,,,,,,,,,36.0,39.0,37.0,,,,,
2020-04-06 05:00:00,,,,,,,,,,36.0,36.0,37.0,,,,,
2020-04-06 05:10:00,,,,,,,,,,35.0,36.0,39.0,,,,,
2020-04-06 05:20:00,,,,,,,,,,36.0,37.0,36.0,,,,,
2020-04-06 05:30:00,,,,,,,,,,55.0,36.0,36.0,,,,,
2020-04-06 05:40:00,,,,,,,,,,38.0,39.0,36.0,,,,,
2020-04-06 05:50:00,,,,,,,,,,37.0,36.0,40.0,,,,,
2020-04-06 06:00:00,,,,,,,,,,35.0,37.0,37.0,,,,,
2020-04-06 06:10:00,,,,,,,,,,35.0,36.0,37.0,,,,,
2020-04-06 06:20:00,,,,,,,,,,36.0,36.0,37.0,,,,,
2020-04-06 06:30:00,,,,,,,,,,38.0,38.0,39.0,,,,,
2020-04-06 06:40:00,16.0,,,,,,,,,38.0,37.0,39.0,,,,,
2020-04-06 06:50:00,15.0,,,,,,,,,37.0,36.0,37.0,,,,,
2020-04-06 07:00:00,14.0,,,,,,,,,38.0,483.9753473133864,37.0,,,,,
2020-04-06 07:10:00,,,,,50.0,,,,,36.0,37.0,39.0,,,,,
2020-04-06 07:20:00,,,,,60.0,,,,,37.0,39.0,37.0,,,,,
2020-04-06 07:30:00,,,,,52.0,,,,,37.0,35.0,37.0,,,,,
2020-04-06 07:40:00,,,,,,,,,,49.0,37.0,,,,,,
2020-04-06 07:50:00,,,,57.99500000000001,,,,,,,36.0,,,,,,
2020-04-06 08:00:00,,,,63.89699999999999,,,,,,,36.0,,,,,,
2020-04-06 08:10:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 08:20:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 08:30:00,,,,,,,,,,,36.0,,,,,,
2020-04-06 08:40:00,,,,,,,,,,,39.0,,,,,,
2020-04-06 08:50:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 09:00:00,,,,,,,,,,,38.0,,,,,,
2020-04-06 09:10:00,,,,,,,,,,,39.0,,,,,,
2020-04-06 09:20:00,,,,,,,,,,,36.0,,,,,,
2020-04-06 09:30:00,,,,,,,,,,,36.0,,,,,,
2020-04-06 09:40:00,,,,,,,,,,,39.0,,,,,,
2020-04-06 09:50:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 10:00:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 10:10:00,,,,,,,,,,,35.0,,,,,,
2020-04-06 10:20:00,,,,,,,,,,,38.0,,,,,,
2020-04-06 10:30:00,,,,,,33.0,,,,,39.0,,,,,,
2020-04-06 10:40:00,,,,,,,,,,,35.0,,,,,,
2020-04-06 10:50:00,,,,,,,,,,,36.0,,,,,,
2020-04-06 11:00:00,,,,,,,,,,,37.0,,,,,,
2020-04-06 11:10:00,,,,,,,,,38.0,,37.0,,,,,,
2020-04-06 11:20:00,,,,,,,,,36.0,,36.0,,,,,,
2020-04-06 11:30:00,,,,,,,,,,,36.0,,,,,,
2020-04-06 11:40:00,,,,,,,,,,,,,,,,,
2020-04-06 11:50:00,,,,,,,,,,,,,,,,,
2020-04-06 12:00:00,,,,,,,,,,,,,,,,,
2020-04-06 12:10:00,,,,,,,,,,,,,,,,,
2020-04-06 12:20:00,,,,,,,,,,,,,,,,,
2020-04-06 12:30:00,,,,,,,,,,,,,,,43.0,,
2020-04-06 12:40:00,,,,,,,,20.0,,,,,,,,,
2020-04-06 12:50:00,,,,,,,,19.0,,,,,,,,,
2020-04-06 13:00:00,,,,,,,,,,,,,,,,,
2020-04-06 13:10:00,,,,,,30.0,,,,,,,,,,,
2020-04-06 13:20:00,,,,,,30.0,,,,,,,,,,,
2020-04-06 13:30:00,,,,,,28.0,,,,,,,,,,,
2020-04-06 13:40:00,,,,,,27.0,,,,,,,,,,,
2020-04-06 13:50:00,,,,,,29.0,,,,,,,,,,,
2020-04-06 14:00:00,,,,,,28.0,,,,,,,,,,,
2020-04-06 14:10:00,,,,,,32.0,,,,,,,,,,,
2020-04-06 14:20:00,,,,,,32.0,,,,,,,,,,49.0,
2020-04-06 14:30:00,,,,,,31.0,,,,,,,,,,45.0,
2020-04-06 14:40:00,,,,,,32.0,,,,,,,,,,48.0,
2020-04-06 14:50:00,,,,,,30.0,,,,,,,,,,45.0,
2020-04-06 15:00:00,,,,,,27.0,,,,,,,,,,47.0,
2020-04-06 15:10:00,,,,,,29.0,,,,,,,,,,46.0,
2020-04-06 15:20:00,,,,,,30.0,,,,,,,,,,50.0,
2020-04-06 15:30:00,,,,,,29.0,,,,,,,,,,48.0,
2020-04-06 15:40:00,,,,,,28.0,,,,,,,,,,46.0,
2020-04-06 15:50:00,,,,,,30.0,,,34.0,,,,,,,46.0,
2020-04-06 16:00:00,,,23.0,,,,,,38.0,,,,,,,47.0,
2020-04-06 16:10:00,,,,,,,,,34.0,,,,,,,47.0,
2020-04-06 16:20:00,,,,,,,,,,,39.0,,,,,48.0,
2020-04-06 16:30:00,,,,,,,,,,,37.0,,,,45.0,47.0,
2020-04-06 16:40:00,,,,,,,,,,,38.0,36.0,,,44.0,46.0,
