Timestamp,mobile-8,mobile-9,mobile-6,mobile-11,mobile-5,mobile-47,mobile-12,mobile-46,mobile-10,mobile-7,mobile-21,mobile-44,mobile-49,mobile-1,mobile-23,mobile-40,mobile-36,mobile-14,mobile-31,mobile-13
2020-04-06 00:00:00,,27.0,24.0,23.0,21.0,16.0,18.0,16.0,28.0,,,,,,,,,49.0,47.0,
2020-04-06 00:10:00,,22.0,24.0,18.0,16.0,16.0,19.0,17.0,31.0,,,,,,,,,45.0,48.0,
2020-04-06 00:20:00,,22.0,21.0,20.0,16.0,17.0,18.0,16.0,31.0,,,,,,,,,48.0,46.0,
2020-04-06 00:30:00,,23.0,21.0,23.0,18.0,17.0,16.0,22.0,30.0,,,,,,,,,48.0,48.0,
2020-04-06 00:40:00,,24.0,22.0,19.0,15.0,18.0,19.0,18.0,31.0,,,,,,,,,47.0,49.0,
2020-04-06 00:50:00,,24.0,21.0,20.0,17.0,15.0,18.0,18.0,30.0,,,,,,,,,46.0,51.0,
2020-04-06 01:00:00,,23.0,22.0,19.0,16.0,16.0,17.0,20.0,28.0,,,,,,,,,46.0,49.0,
2020-04-06 01:10:00,,25.0,21.0,22.0,17.0,17.0,18.0,20.0,32.0,,,,,,,,,47.0,49.0,
2020-04-06 01:20:00,,29.0,21.0,25.0,16.0,16.0,17.0,18.0,29.0,,,,,,,,,48.0,51.0,
2020-04-06 01:30:00,,23.0,21.0,19.0,19.0,14.0,16.0,16.0,36.0,,,,,,,,,45.0,47.0,
2020-04-06 01:40:00,,22.0,22.0,20.0,19.0,18.0,18.0,711.3613066141785,28.0,,,,,,,,,44.0,52.0,
2020-04-06 01:50:00,,25.0,23.0,20.0,16.0,16.0,16.0,17.0,33.0,,,,,,,,,45.0,50.0,
2020-04-06 02:00:00,,23.0,742.1067342577651,20.0,16.0,16.0,21.0,20.0,28.0,,,,,,,,,46.0,50.0,
2020-04-06 02:10:00,,24.0,21.0,25.0,18.0,16.0,18.0,17.0,29.0,,,,,,,,,50.0,48.0,
2020-04-06 02:20:00,,23.0,21.0,21.0,14.0,18.0,19.0,18.0,31.0,,,,,,,,,47.0,47.0,
2020-04-06 02:30:00,,23.0,22.0,19.0,16.0,20.0,19.0,16.0,32.0,,,,,,,,,48.0,47.0,
2020-04-06 02:40:00,,26.0,22.0,20.0,16.0,14.0,16.0,17.0,34.0,,,,,,,,,49.0,47.0,
2020-04-06 02:50:00,,26.0,21.0,19.0,16.0,14.0,17.0,22.0,31.0,,,,,,,,,47.0,45.0,
2020-04-06 03:00:00,,26.0,20.0,24.0,15.0,16.0,16.0,1230.1723394994804,31.0,,,,,,,,,46.0,48.0,
2020-04-06 03:10:00,,23.0,21.0,19.0,16.0,17.0,17.0,16.0,29.0,,,,,,,,,46.0,45.0,
2020-04-06 03:20:00,,22.0,21.0,18.0,17.0,19.0,16.0,16.0,28.0,,,,,,,,,49.0,49.0,
2020-04-06 03:30:00,,22.0,21.0,24.0,18.0,14.0,16.0,18.0,31.0,,,,,,,,,47.0,48.0,
2020-04-06 03:40:00,,27.0,20.0,18.0,14.0,16.0,18.0,18.0,32.0,,,,,,,,,47.0,48.0,
2020-04-06 03:50:00,,23.0,21.0,25.0,16.0,15.0,17.0,17.0,29.0,,,,,,,,,47.0,47.0,
2020-04-06 04:00:00,,25.0,20.0,22.0,16.0,16.0,17.0,18.0,32.0,,,,,,,,,49.0,45.0,
2020-04-06 04:10:00,,22.0,21.0,21.0,15.0,16.0,19.0,15.0,30.0,,,,,,,,,48.0,46.0,
2020-04-06 04:20:00,,25.0,21.0,22.0,16.0,21.0,18.0,17.0,27.0,,,,,,,,,47.0,46.0,
2020-04-06 04:30:00,,24.0,24.0,19.0,16.0,16.0,18.0,16.0,30.0,,,,,,,,,47.0,45.0,
2020-04-06 04:40:00,,23.0,21.0,19.0,20.0,17.0,20.0,18.0,32.0,,,,,,,,,46.0,48.0,
2020-04-06 04:50:00,,940.3037709790243,22.0,21.0,18.0,14.0,21.0,16.0,35.0,,,,,,,,,48.0,46.0,
2020-04-06 05:00:00,,20.0,22.0,19.0,18.0,18.0,18.0,15.0,30.0,,,,,,,,,48.0,48.0,
2020-04-06 05:10:00,,24.0,21.0,21.0,16.0,17.0,17.0,16.0,29.0,,,,,,,,,48.0,47.0,
2020-04-06 05:20:00,,23.0,20.0,19.0,17.0,16.0,20.0,16.0,27.0,,,,,,,,,48.0,46.0,
2020-04-06 05:30:00,,25.0,20.0,24.0,18.0,18.0,18.0,18.0,32.0,,,,,,,,,46.0,47.0,
2020-04-06 05:40:00,,25.0,21.0,21.0,15.0,16.0,513.9860424132073,18.0,30.0,,,,,,,,,46.0,51.0,
2020-04-06 05:50:00,,24.0,22.0,21.0,17.0,18.0,19.0,20.0,31.0,,,,,,,,,46.0,51.0,
2020-04-06 06:00:00,,22.0,20.0,23.0,17.0,16.0,18.0,17.0,30.0,,,,,,,,,46.0,46.0,
2020-04-06 06:10:00,,28.0,20.0,23.0,18.0,19.0,20.0,16.0,28.0,,,,,,,,,47.0,49.0,
2020-04-06 06:20:00,,22.0,21.0,24.0,15.0,16.0,18.0,18.0,32.0,,,,,,,,,46.0,48.0,
2020-04-06 06:30:00,,,27.0,22.0,16.0,,19.0,18.0,26.0,,,,,,,,,46.0,49.0,
2020-04-06 06:40:00,,,20.0,21.0,16.0,,18.0,18.0,30.0,,,,,,,,,,,
2020-04-06 06:50:00,,,,20.0,16.0,,16.0,20.0,28.0,,,,,,,,,,,
2020-04-06 07:00:00,,,,19.0,16.0,,648.7320754185766,21.0,32.0,,,,,,,,,,,
2020-04-06 07:10:00,,,,21.0,20.0,,16.0,19.0,32.0,,,,,,,,,,,
2020-04-06 07:20:00,,,,21.0,15.0,,16.0,18.0,30.0,,,,,,,,,,,
2020-04-06 07:30:00,,,,21.0,18.0,,15.0,16.0,31.0,,,,,,,,,,,
2020-04-06 07:40:00,,,,21.0,16.0,,16.0,20.0,493.20307540098236,,,,,,,,,,,
2020-04-06 07:50:00,,,,20.0,18.0,,18.0,17.0,,,,,,,,,,,,
2020-04-06 08:00:00,,,,19.0,17.0,,17.0,16.0,,,,52.0,,,,,,,,
2020-04-06 08:10:00,,,,25.0,16.0,,19.0,17.0,,,,58.0,,,,,,,,
2020-04-06 08:20:00,,,,18.0,16.0,,16.0,18.0,,,,56.0,,,,,,,,
2020-04-06 08:30:00,,,,21.0,17.0,,18.0,16.0,,,,52.0,,,,,,,,
2020-04-06 08:40:00,,,,21.0,17.0,,18.0,20.0,,,,58.0,,,,,,,,
2020-04-06 08:50:00,,,,21.0,17.0,,16.0,18.0,,,,50.0,,,,,,,,
2020-04-06 09:00:00,,,,19.0,14.0,,18.0,18.0,,,,56.0,,,,,,,,
2020-04-06 09:10:00,,,,22.0,18.0,,18.0,20.0,,,,56.0,,,,,,,,
2020-04-06 09:20:00,,,,21.0,17.0,,17.0,19.0,,,,54.0,,,,,,,,
2020-04-06 09:30:00,,,,21.0,14.0,,20.0,18.0,,,,56.0,,,,,,,,
2020-04-06 09:40:00,,,,24.0,16.0,,16.0,18.0,,,,52.0,,,,,,,,
2020-04-06 09:50:00,,,,22.0,18.0,,18.0,18.0,,,,56.0,,,,,,,,
2020-04-06 10:00:00,,,,22.0,19.0,,24.0,18.0,,,,52.0,,,,,,,,
2020-04-06 10:10:00,,,,22.0,19.0,,,18.0,,,,54.0,,,,,,,,
2020-04-06 10:20:00,,,,19.0,18.0,,,17.0,,,,46.0,,,,,,,,
2020-04-06 10:30:00,,,,17.0,17.0,,,17.0,,,,58.0,,,,,,,,
2020-04-06 10:40:00,,,,20.0,18.0,,,19.0,,,,54.0,,,,,,,,
2020-04-06 10:50:00,,,,19.0,19.0,,,16.0,,,,54.0,,,,,,,,
2020-04-06 11:00:00,,,,20.0,18.0,,,21.0,,,,50.0,,,,,,,,
2020-04-06 11:10:00,,,,20.0,15.0,,,16.0,,,,58.0,,,,,,,,
2020-04-06 11:20:00,,,,21.0,22.0,,,19.0,,,,52.0,,,,,,,,
2020-04-06 11:30:00,,,,20.0,16.0,,,17.0,,,,54.0,,,,,,,,
2020-04-06 11:40:00,,,,22.0,18.0,,,20.0,,,,56.0,,,,,,,,
2020-04-06 11:50:00,,,,20.0,17.0,,,,,,,52.0,,,,,,,,
2020-04-06 12:00:00,,,,20.0,15.0,,,,,,,56.0,,,,,42.0,,,
2020-04-06 12:10:00,,,,22.0,14.0,,,,,,,54.0,,,,,49.0,,,
2020-04-06 12:20:00,,,,19.0,20.0,,,,,,,52.0,,,,,49.0,,,51.0
2020-04-06 12:30:00,39.705,,,22.0,19.0,,,,,,,56.0,,,,,46.0,49.0,,53.0
2020-04-06 12:40:00,42.611,,,641.1126761605598,14.0,,,,,,,54.0,,,,,45.0,45.0,,49.0
2020-04-06 12:50:00,47.599,,,30.0,,,,,,,,50.0,,,,,46.0,46.0,,48.0
2020-04-06 13:00:00,42.596,,,20.0,,,,,,,,64.0,,,,,44.0,45.0,,
2020-04-06 13:10:00,43.499,,,18.0,,,,,,,,52.0,,,,,47.0,46.0,,
2020-04-06 13:20:00,43.401,,,,,,,,,,,783.3120399570134,,,,,46.0,47.0,,
2020-04-06 13:30:00,,,,,,,,,,,,50.0,,,,,45.0,1257.6027626155678,,
2020-04-06 13:40:00,,,,,,,,,,,,54.0,,,,,46.0,46.0,,
2020-04-06 13:50:00,,,,,,,,,,,,56.0,,,,,48.0,45.0,,
2020-04-06 14:00:00,,,,,,,,,,,,54.0,,,,,47.0,44.0,,
2020-04-06 14:10:00,,,,,,,,,,,,48.0,,,,,49.0,,,
2020-04-06 14:20:00,,,,,,,,,,,,56.0,,,,,47.0,,,
2020-04-06 14:30:00,,,,,,,,,,,,64.0,,,,,47.0,,,
2020-04-06 14:40:00,,,,,,,,,,,,56.0,,,,,48.0,,,
2020-04-06 14:50:00,,,,,,,,,,,,52.0,,,,,46.0,,,
2020-04-06 15:00:00,,,,,,,,,,,,60.0,,,,,45.0,,,
2020-04-06 15:10:00,,,,,,,17.0,,,,,56.0,,,,,46.0,,,
2020-04-06 15:20:00,,,,,,,22.0,,,,,52.0,,,,,48.0,,,
2020-04-06 15:30:00,,,,,,,18.0,,,,,56.0,,,,,47.0,,,
2020-04-06 15:40:00,,,,,,,17.0,,,,,58.0,,,,,1134.2162914248838,,,
2020-04-06 15:50:00,,,,,,,19.0,,,,,68.0,,,,,48.0,,,
2020-04-06 16:00:00,,,,,,,18.0,,,,,62.0,,,,,46.0,,,
2020-04-06 16:10:00,,,,,14.0,,503.35082646382034,,,,,52.0,,,,,51.0,,,
2020-04-06 16:20:00,,,22.0,,14.0,,16.0,,,,,54.0,16.0,,,,49.0,,,
2020-04-06 16:30:00,,,22.0,21.0,18.0,,17.0,,,,,50.0,19.0,,,,45.0,,,
2020-04-06 16:40:00,,20.0,22.0,21.0,20.0,,16.0,16.0,,,,54.0,16.0,,,,46.0,,47.0,47.0
2020-04-06 16:50:00,,24.0,22.0,20.0,13.0,,20.0,115.0,,,,,,,,,55.0,,47.0,52.0
2020-04-06 17:00:00,,23.0,23.0,21.0,17.0,,17.0,18.0,30.0,,,,,,,,47.0,,45.0,53.0
2020-04-06 17:10:00,,24.0,23.0,19.0,16.0,15.0,17.0,18.0,33.0,,,,,,,,46.0,49.0,44.0,45.0
2020-04-06 17:20:00,,23.0,22.0,26.0,18.0,17.0,19.0,17.0,29.0,,,,,,,,,47.0,48.0,
2020-04-06 17:30:00,,23.0,22.0,20.0,18.0,19.0,19.0,18.0,28.0,,,,,,,,,47.0,46.0,
2020-04-06 17:40:00,,25.0,22.0,20.0,15.0,18.0,19.0,16.0,33.0,,,,,,,,,48.0,47.0,
2020-04-06 17:50:00,,24.0,24.0,19.0,17.0,15.0,16.0,18.0,29.0,,,,,,,,,48.0,44.0,
2020-04-06 18:00:00,,24.0,23.0,23.0,16.0,15.0,20.0,17.0,30.0,,,,,,,,,46.0,47.0,
2020-04-06 18:10:00,,22.0,23.0,22.0,18.0,16.0,20.0,16.0,32.0,,,,,,,,,47.0,44.0,
2020-04-06 18:20:00,,22.0,23.0,21.0,19.0,18.0,17.0,20.0,29.0,,,,,,,,,46.0,46.0,
2020-04-06 18:30:00,,24.0,23.0,21.0,19.0,16.0,20.0,19.0,28.0,,,,,,,,,48.0,666.1388389833583,
2020-04-06 18:40:00,,24.0,23.0,21.0,18.0,16.0,19.0,18.0,29.0,,,,,,,,,46.0,47.0,
2020-04-06 18:50:00,,25.0,23.0,22.0,16.0,17.0,19.0,18.0,32.0,,,,,,,,,46.0,46.0,
2020-04-06 19:00:00,,23.0,23.0,22.0,18.0,15.0,17.0,17.0,31.0,,,,,,,,,46.0,51.0,
2020-04-06 19:10:00,,23.0,24.0,20.0,16.0,16.0,17.0,16.0,27.0,,,,,,,,,46.0,47.0,
2020-04-06 19:20:00,,25.0,22.0,20.0,17.0,20.0,16.0,18.0,30.0,,,,,,,,,45.0,46.0,
2020-04-06 19:30:00,,24.0,22.0,26.0,16.0,16.0,18.0,18.0,27.0,,,,,,,,,46.0,50.0,
2020-04-06 19:40:00,,25.0,23.0,20.0,16.0,14.0,16.0,21.0,31.0,,,,,,,,,46.0,45.0,
2020-04-06 19:50:00,,23.0,24.0,21.0,14.0,17.0,16.0,18.0,32.0,,,,,,,,,50.0,49.0,
2020-04-06 20:00:00,,25.0,22.0,21.0,15.0,16.0,18.0,18.0,37.0,,,,,,,,,46.0,48.0,
2020-04-06 20:10:00,,697.157758278339,22.0,20.0,18.0,16.0,18.0,17.0,31.0,,,,,,,,,48.0,49.0,
2020-04-06 20:20:00,,25.0,23.0,21.0,16.0,14.0,17.0,16.0,27.0,,,,,,,,,1001.0165694861447,48.0,
2020-04-06 20:30:00,,24.0,22.0,19.0,20.0,17.0,17.0,17.0,31.0,,,,,,,,,50.0,46.0,
2020-04-06 20:40:00,,23.0,22.0,19.0,16.0,18.0,18.0,20.0,30.0,,,,,,,,,45.0,46.0,
2020-04-06 20:50:00,,25.0,22.0,21.0,19.0,18.0,16.0,1095.9564903634803,31.0,,,,,,,,,46.0,47.0,
2020-04-06 21:00:00,,25.0,22.0,21.0,17.0,16.0,18.0,19.0,27.0,,,,,,,,,46.0,46.0,
2020-04-06 21:10:00,,25.0,23.0,21.0,18.0,17.0,18.0,64.0,30.0,,,,,,,,,46.0,44.0,
2020-04-06 21:20:00,,26.0,22.0,20.0,24.0,18.0,18.0,20.0,28.0,,,,,,,,,44.0,47.0,
2020-04-06 21:30:00,,23.0,22.0,20.0,21.0,18.0,20.0,19.0,32.0,,,,,,,,,46.0,50.0,
2020-04-06 21:40:00,,24.0,22.0,23.0,18.0,16.0,16.0,18.0,32.0,,,,,,,,,49.0,48.0,
2020-04-06 21:50:00,,23.0,21.0,23.0,15.0,15.0,18.0,24.0,31.0,,,,,,,,,49.0,47.0,
