Timestamp,mobile-49,mobile-36,mobile-9,mobile-17,mobile-19,mobile-46,mobile-47,mobile-6,mobile-40,mobile-15,mobile-44,mobile-39,mobile-20,mobile-37,mobile-21,mobile-43,mobile-33,mobile-23,mobile-10,mobile-34,mobile-8,mobile-24,mobile-1,mobile-27,mobile-7,mobile-5,mobile-13,mobile-4,mobile-31,mobile-32,mobile-22,mobile-14,mobile-42,mobile-12
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,54.0
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,54.0
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,54.0
2020-04-06 06:00:00,,,,21.0,,,15.0,,,,,22.0,55.0,42.0,62.306000000000004,48.0,,,,,,,,,51.0,52.0,48.0,38.0,,,47.0,50.0,50.0,51.0
2020-04-06 08:00:00,,,,,,,,,,,,,53.0,,,50.0,,17.0,,,,,36.0,,,,,42.0,,46.0,,,,52.0
2020-04-06 10:00:00,,,,,,,,18.0,,,,,54.0,,,,,,,,,,,,,,,38.0,,,,,,51.0
2020-04-06 12:00:00,45.404,,,,,17.0,,,,,,,51.0,,,,,,27.0,29.0,,,,39.0,,,,40.0,,,51.0,51.0,,50.0
2020-04-06 14:00:00,53.198,,,,,20.0,,17.0,,,,,53.0,,,,,,,,,,,,,,,40.0,,,,,,
2020-04-06 16:00:00,44.886,,,,23.0,19.0,,,,,,22.0,51.0,,,52.0,,16.0,,,,,36.0,,51.0,699.8700419732556,49.0,39.0,,42.0,,48.0,,51.0
2020-04-06 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,51.0
2020-04-06 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,54.0
2020-04-06 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,487.2038555843866
2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,802.4839077916013,,,,,,,,,54.0
2020-04-07 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,53.0
2020-04-07 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,52.0
2020-04-07 06:00:00,,,,,,15.0,,,,,,,52.0,955.3226224605388,56.607,,,,,,,,34.0,,49.0,,,41.0,,41.0,,47.0,47.0,52.0
2020-04-07 08:00:00,47.79,,,,,24.0,,,,,,,58.0,,,54.0,,,,,,,,,,,,41.0,,,,,,52.0
2020-04-07 10:00:00,46.06100000000001,,21.0,,,20.0,,17.0,,,,,52.0,,,,,,,,,,,,,,,45.0,,,,,,50.0
2020-04-07 12:00:00,46.106,,,21.0,,18.0,19.0,20.0,,,,25.0,56.0,,,,,17.0,,,,,,,,47.0,46.0,48.0,,,1135.7532272791125,,,
2020-04-07 14:00:00,51.589,,,,,20.0,,15.0,,,,,53.0,,,,,,,,,,,,,,,708.0798600255794,,,,,,
2020-04-07 16:00:00,44.809,,,,20.0,20.0,,,,,,19.0,48.0,,,56.0,,16.0,,,,,36.0,,51.0,379.6333872278429,51.0,46.0,,41.0,,,,52.0
2020-04-07 18:00:00,,24.0,,,25.0,,,18.0,,26.0,,,,,,,31.0,,,,21.0,37.0,,,51.0,,,,,,,47.0,,53.0
2020-04-07 20:00:00,,22.0,,,,,,20.0,,26.0,,,,,,,30.0,,,,21.0,37.0,,,50.0,,,,,,,47.0,,55.0
2020-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,56.0
2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,713.2709977064283
2020-04-08 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,50.0
2020-04-08 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,51.0
