Timestamp,mobile-43,mobile-42,mobile-17,mobile-19,mobile-25,mobile-46,mobile-47,mobile-6,mobile-39,mobile-44,mobile-4,mobile-20,mobile-41,mobile-33,mobile-35,mobile-23,mobile-34,mobile-24,mobile-10,mobile-31,mobile-27,mobile-40,mobile-37,mobile-15,mobile-36,mobile-22,mobile-45,mobile-9
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,
2020-04-06 06:00:00,25.0,22.0,,,,43.0,50.0,60.30199999999999,,,,32.0,,,36.0,,37.0,,,47.0,,39.0,42.0,45.0,41.0,,48.0,49.0
2020-04-06 08:00:00,26.0,,,,,,50.0,,,16.0,,,,,36.0,,36.0,,,,,,43.0,40.0,,,,
2020-04-06 10:00:00,28.0,,,,,,48.0,,,,28.0,,,,,35.0,,,,,,,43.0,,,,,
2020-04-06 12:00:00,27.0,,,18.0,,,50.0,,,,29.0,,36.2,22.0,,31.0,,,,,,,49.0,,,,49.0,
2020-04-06 14:00:00,28.0,,,22.0,,,58.0,,,,29.0,,,22.0,,,,,,,,,46.0,,,,,
2020-04-06 16:00:00,28.0,,,,25.0,,44.0,60.864,,,27.0,,,23.0,33.0,,37.0,46.0,46.0,48.0,35.0,40.0,965.8889491123856,44.0,,,,
2020-04-06 18:00:00,25.0,,,,,,,,,,,,,22.0,,,,,,,,,,44.0,,,,
2020-04-06 20:00:00,901.3776910623255,,,,,,,,,,,,,22.0,,,,,,,,,,44.0,,,,
2020-04-06 22:00:00,26.0,,,,,,,,,,,,,21.0,,,,,,,,,,44.0,,,,
2020-04-07 00:00:00,27.0,,,,,,,,,,,,,627.1893200434886,,,,,,,,,,873.7590829191362,,,,
2020-04-07 02:00:00,27.0,,,,,,,,,,,,,22.0,,,,,,,,,,46.0,,,,
2020-04-07 04:00:00,26.0,,,,,,,,,,,,,21.0,,,,,,,,,,370.993755116833,,,,
2020-04-07 06:00:00,27.0,,,,,45.0,64.0,612.1534880075909,,,30.0,,,22.0,36.0,,37.0,,,,,,,41.0,,,,46.0
2020-04-07 08:00:00,26.0,,,,,,52.0,,,,30.0,,,22.0,,,,,,,,,,,,,,
2020-04-07 10:00:00,29.0,,,,,,54.0,,,,31.0,,,740.9446735449229,,,,,,,,40.0,,,,,,
2020-04-07 12:00:00,25.0,25.0,,16.0,,,52.0,,,,31.0,32.0,34.4,21.0,,,,,,48.0,,,46.0,,,,,
2020-04-07 14:00:00,636.6072029268005,,,19.0,,,52.0,,,,29.0,,,21.0,,,,,,,,,507.40595666389765,,,,,
2020-04-07 16:00:00,1163.5605127802296,,,,25.0,,44.0,56.279,,,556.8728979361313,,,22.0,31.0,,37.0,46.0,46.0,47.0,40.0,41.0,41.0,41.0,,,,
2020-04-07 18:00:00,27.0,,,,,,,,28.0,,,,,22.0,,,,,,,,,,42.0,,,,
2020-04-07 20:00:00,,,,,,,,,30.0,,,,,,,,,,,,,,,43.0,,,,
2020-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,
2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,
2020-04-08 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,
2020-04-08 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
2020-04-08 06:00:00,25.0,22.0,,,,44.0,44.0,65.999,,,,,,21.0,37.0,,,,,,,51.0,42.0,924.0535395359584,,49.0,,
2020-04-08 08:00:00,994.1199536881804,,,,,,48.28794191069575,,,,30.3242852354914,,35.2,22.0,,,,,,,,,45.211421913730575,,,50.0,,
2020-04-08 10:00:00,899.9857900845375,,,,,,51.86908989160521,,,,478.1499711815533,,,21.668039336906354,,,,,,,,,708.7470380495274,,,1128.8214482914036,,
